bq#,title,comp_date,composer,dates,arranger,instrumentation,state,ui_library,digitized,notes,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29
130,Sonata XII,1972,Schmelzer,(1620-1680),Stine,,copy,n,y,,,,,,,,,,,,,,,,,,,
131,Aespo Suite,1984,Sapieyevski,,,,orig,,y,,,,,,,,,,,,,,,,,,,
132,Folk Song Fantasy,1979,Horovitz,,,,copy,,,,,,,,,,,,,,,,,,,,,
133,Scherzo from the Serenade,2003,Brahms,,Scriggins,,orig,,y,,,,,,,,,,,,,,,,,,,
134,Amparito Roca,1992,Texidor,,Endsley,,orig,,y,,,,,,,,,,,,,,,,,,,
135,Canzona per Sonare No. 4,,Gabrieli,,Page,,copy,,,,,,,,,,,,,,,,,,,,,
136,Seacoasts,2000,Walker,,,,orig,,y,,,,,,,,,,,,,,,,,,,
137,3 Madrigaux slaves,1992,Jevtic,,,,orig,,y,,,,,,,,,,,,,,,,,,,
138,Fantasie und Variationen,1984,Arban,(1825-1889),Hinterbichler,,orig,,y,,,,,,,,,,,,,,,,,,,
139,"March, Op. 99",1991,Prokofiev,,Stanley,,copy,n,y,,,,,,,,,,,,,,,,,,,
140,Amazing Grace,1986,Traditional,,Anderson,,copy,n,y,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Passacaglia for Brass,1999,Giomo,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
143,The Canadian Brass Rag,1974,Rathburn,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
144,Three Pieces from Lieutenant Kije,1995,Prokofiev,,John Wilson and Paul Hanna,,copy,n,y,,,,,,,,,,,,,,,,,,,
145,Soundings on the Erie Canal,1994,Turner,,,,orig,,y,,,,,,,,,,,,,,,,,,,
146,Petits Démons et Grandes Merveills,1989,Caillat,,,,orig,,y,,,,,,,,,,,,,,,,,,,
147,Brass Quintet No. 2,1972,Frackenpohl,,,,copy,M557.4.F72B72 1972,y,,,,,,,,,,,,,,,,,,,
148,Animal Ditties VII,1997,Plog,,,BQ and Narrator,orig,,y,,,,,,,,,,,,,,,,,,,
149,Music For Five Brass,2010,Balmages,,,,orig,,y,,,,,,,,,,,,,,,,,,,
150,Makin' Whoopee,2013,Donaldson,,Sielert,,orig,,y,,,,,,,,,,,,,,,,,,,
151,"Concerto in A minor for 2 Violins and Strings, Op. 3 #8 RV522",2013,Vivaldi,,"J.S. Bach, tr David Baldwin",,copy,n,y,,,,,,,,,,,,,,,,,,,
152,Exaltation for Brass Quintet,2000,Balmages,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
153,Tin Roof Blues,1997,New Orleans Rhythm Kings,,Gale,,copy,n,y,,,,,,,,,,,,,,,,,,,
154,"Fantasia in C minor, BWV 570",2005,Bach,(1685-1750),Allen,,copy,n,y,,,,,,,,,,,,,,,,,,,
155,Fire Dance,2004,DiLorenzo,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
156,When You Are Old,,Erskin,,McWhorter,,copy,n,y,,,,,,,,,,,,,,,,,,,
157,Kaitsenko,1992,Turner,,,,orig,,y,,,,,,,,,,,,,,,,,,,
158,Tricrotism,,Pettiford,,Sielert,,orig,,y,,,,,,,,,,,,,,,,,,,
159,Tune Up,,Davis,,Sielert,,copy,,y,,,,,,,,,,,,,,,,,,,
160,Caledonia,,Gault,,,,orig,,y,,,,,,,,,,,,,,,,,,,
161,"Russian Suite from the Album for the Young, Op. 39",,Tchaikovsky,,Singleton,,copy,n,y,,,,,,,,,,,,,,,,,,,
162,Variations on the Romanesca from the Dubliner Virginal Book,,Anonymous,,Singleton,,copy,n,y,,,,,,,,,,,,,,,,,,,
