Arranger,Composer,Title,Folder/Catalogue #,# Copies,Voicing,Publisher,Publication or Reprint Date,OCLC#,Season / Type,Extra Instruments & Info,,,,,,,,,,,,,,,,,
,"Artman, Ruth",Where Go The Boats?,1296,17,SSA,Alfred,,,,Piano,,,,,,,,,,,,,,,,,
,"Aschaffenburg, Walter",The 23rd Psalm,2468,2,SATB,Theodore Presser,,,,"Organ, oboe, tenor solo",,,,,,,,,,,,,,,,,
"Achenbrenner, Walter","Aschenbrenner, M.",Three Blind Mice,14,72,SATB,M. Witmark & ,,,,a cappella,,,,,,,,,,,,,,,,,
,"Baboukis, John",Kyrie,1432,20,SATB,Copies,,,,A cappella,,,,,,,,,,,,,,,,,
"Sandberg, Rhonda",Bach J.S.,"Come, Sweet Death",1859,30,SATB,Colla Voce,,,,"A cappella, choreography",,,,,,,,,,,,,,,,,
"Grundahl, Nancy",Bach J.S.,Dona Nobis Pacem,2320,14,SSA,Santa Barbara,,,,Piano,,,,,,,,,,,,,,,,,
"Shaw, Robert","Bach, J.S.","Ah, Lor, Thy Dear Sweet Angels Send",15,45,SATB,G. Schirmer,,,Easter,a cappella,,,,,,,,,,,,,,,,,
"Agnolucci, Mario","Bach, J.S.",Air for Voices and Violin Solo,16,55,SATBB,G. Schirmer,,,,"a cappella, solo violin",,,,,,,,,,,,,,,,,
,"Bach, J.S.","All Breathing Life, Sing and Praise ye the Lord",17,19,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
"Krone, Max T.","Bach, J.S.","All Men, Now Sing, Rejoice",18,21,SSATB,Neil A. Kjos Music ,,,,A cappella,,,,,,,,,,,,,,,,,
"Manney, C.F.","Bach, J.S.",At Thy Feet,19,32,SATB,B. F. Wood ,,,,organ,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Beside Thy Cradle Here I Stand,20,34,SATB,B. F. Wood ,,,Christmas,organ,,,,,,,,,,,,,,,,,
,"Bach, J.S.","Break Forth, O Beauteous Heavenly Light",21,50,SATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Thee With Tender Care,21,48,SATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Crucifixus (B minor Mass),23,58,SSATTB,G. Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Gloria in Excelsis Deo,24,12,SSATB,Boosey & Hawks,,,,opt organ,,,,,,,,,,,,,,,,,
,"Bach, J.S.",How Shall I Fitly Meet Thee,27,45,SATB,E.C. Shirmer ,,,Christmas,"Sting intro parts included, organ",,,,,,,,,,,,,,,,,
,"Bach, J.S.","Jesu, Joy of Mans Desire",28,46,SATB,E.C. Shirmer ,,,,organ,,,,,,,,,,,,,,,,,
