Arranger,Composer,Title,Folder/Catalogue #,# Copies,Voicing,Publisher,Publication or Reprint Date,OCLC#,Season / Type,Extra Instruments & Info,,,,,,,,,,,,,,,,,
"Quick, Jonathan","Matamoros, Miguel",Son de la loma,1851,40,SATB,Cypress,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mathews, Peter",Missa Brevis,1351 /5 envelopes,65,SATB,Southern Music,,,Extended,Organ,,,,,,,,,,,,,,,,,
,"Mathis, William",Sir Christemas,1648 /2 envelopes,63,SATB,Oxford,,,,organ,,,,,,,,,,,,,,,,,
,"Matsushita, Ko",Jubilate Deo,2019 /2 envelopes,30,SSAATTBB,Carlos Verlag,,,,A cappella,,,,,,,,,,,,,,,,,
,"Maybee, Harper",Three Folksongs,532,31,SATB,Gamble Hinged Music ,,,Irish Air,"A cappella, trio sop descant",,,,,,,,,,,,,,,,,
,"Mayhew, Luke",When Gabril Blows the Horn,533,30,SATB,Fischer,,,Spiritual,Piano,,,,,,,,,,,,,,,,,
,"McAfee, Don",Psalm 91,2451,2,SATB,Sacred Music ,,,,Piano,,,,,,,,,,,,,,,,,
,"McAfee, Don",When In Our Music God Is Glorified,2492,2,Unison,McAfee Music ,,,,Handbells,,,,,,,,,,,,,,,,,
,"McCarthy, Henry",It is a Great Day of Joy,534/ 2 envelopes,41,SATB,Bourne,,,Fugue,Piano or Organ,,,,,,,,,,,,,,,,,
,McCollough,O Pensive Dove,535,25,SATB,Fischer,,,Part song,A cappella,,,,,,,,,,,,,,,,,
,"McConnell, Doug",Look to This Day!,1813,25,SATB,Gentry Publications,,,,Piano,,,,,,,,,,,,,,,,,
,"McCrae, William","Shepherds, Shake off Your Drowsy Sleep",1602,3,SATB,Mills Music ,,,Quodlibet ,A cappella,,,,,,,,,,,,,,,,,
,"McCray, J.",Universal Harmony,1359,35,SATB,Mark Foster,,,Psalm 133,"A cappella, divisi",,,,,,,,,,,,,,,,,
,"McCray, J.","Rise up, My Love, My Fair One",1610 /2 envelopes,35,SATB,National Music ,,,Song of Solomon text,Piano,,,,,,,,,,,,,,,,,
,"McCray, James",Deo Gracias,2494,2,SATB,Belwin Mills,,,,A cappella,,,,,,,,,,,,,,,,,
,"McCullough, James",How Far Is It To Bethlehem?,1814 /3 Envelopes,46,SATB,ECS publishing,,,,A cappella,,,,,,,,,,,,,,,,,
,"McCutcheon, Keith",Amazing Grace,1969,36,SATB,Earthsongs,,,,Piano,,,,,,,,,,,,,,,,,
Johnson,"McFadyen, Henry","Lone Wild Bird, The",536,40,SATB,Ausburg,,,Southern folk tune,Piano,,,,,,,,,,,,,,,,,
,"McKay, George","Lark Ascending, The",537,21,SATB,Lawson-Gould,,,,Flute or piano,,,,,,,,,,,,,,,,,
,"McKeylvy, James",Deck the Halls (in 7/8),1557 /2 envelopes,35,SATB,Mark Foster Music,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
,"McLemore, Dorothy",Noel,2213,45,SSA,Schirmer,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
,McLin,In This World,1116,11,SATB,Neil A. Kjos,,,,"Piano, guitar, cello, flute",,,,,,,,,,,,,,,,,
,"Mecham, Kirke",English Girls,2163,3,TBB,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Mechem, Kirke",He's gone Away,970,30,SATB,Carl Fischer,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Mechem, Kirke",New York Girls,971,22,SATB,Carl Fischer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mechem, Kirke",Kansas Boys,978,20,SATB,Carl Fischer,,,,A cappella or instrument ensemble,,,,,,,,,,,,,,,,,
,"Mechem, Kirke",Adam's Bride,979,20,SATB,Fischer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mechem, Kirke",Kind Miss,980,20,SATB,Fischer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mechem, Kirke",It is Good to Give Thanks,1633,35,Unison,Carl Fischer,,,Sacred,Piano or organ,,,,,,,,,,,,,,,,,
,"Mechem, Kirke",Dan-u-el,1817,25,SATB,Schirmer,,,Spiritual,"Piano, bari solo",,,,,,,,,,,,,,,,,
,"Mechem, Kirke",Seven Joys of Christmas,1141 /5 envelopes,70,SATB,Schirmer,,,Sequence of Christmas Carols,"A cappella, or piano, harp, chamber orchestra",,,,,,,,,,,,,,,,,
,"Mechem, Kirke",Skip To My Lou,1818/2 envelopes,80,SATB,Schirmer,,,American Folk Song,Piano,,,,,,,,,,,,,,,,,
,"Mechem, Kirke",Time,1819 /2 Envelopes,30,SATB,Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mehnke, Allan","Jesus, We Wonder",1522,6,2-part,Choristers' Guild,,,Sacred,Piano,,,,,,,,,,,,,,,,,
,"Memley, Kevin, A.",She Walks In Beauty,512,30,SATB,Walton ,,,,"Piano, divisi",,,,,,,,,,,,,,,,,
,"Mendelssohn, F.",Hear My Prayer,1070,2,SATB,Schirmer,,,"Cantata, extended",Organ or piano,,,,,,,,,,,,,,,,,
,"Mendelssohn, F.",Die Nachtigall,2015,32,SATB,Hinshaw,,,,A cappella,,,,,,,,,,,,,,,,,
"Knuth, J.","Mendelssohn, F.",Abschied vom Walde ,2428,21,SATB,Jurgen Knuth,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix","He, Watching Over Israel",539,60,SATB,Schirmer,,,From oratorio Elijah,Piano,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix",If with all Your Hearts (Elijah),540,72,SATB,G. Shirmer,,,From oratorio Elijah,Piano,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix",Lift Thine Eyes to the Mountains,542,15,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix",O Rest in the Lord (Elijah),543,73,SATB,G. Schirmer,,,From Oratorio Elijah,Organ,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix",Heilig (Holy),888,40,SATB-SATB,Walton,,,Double choir,A cappella,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix","Nightengale, The",1024,15,SATB,Walton,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix",Elijah,1133,30,SATB,G. Schirmer,,,"Extended, oratorio",Orchestra,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix",Grant Us Thy Peace,1820,45,SATB,"Neil A, Kjos Music Company",,,,Organ or piano,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix","Jauchzet dem Herrn, alle Welt",1821,25,SATB,Carus-Verlag ,,,,"A cappella, double choir",,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix","Frohlocket, ihr Volker Auf Erden",1965,13,SSAATTBB,Alliance ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix",How Lovely Are the Messenders (from St. Paul),1966,44,SATB,Schirmer,,,,Includes a student edited arrangement by David Cameron,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix",Kyrie Eleison no3,1967,20,SATB Double Choir,Carus,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix","Psalm 43: Richte mich, Gott (#2 of Drei Psalmen)",1968,6,SATB,CPD,,,,A cappella divisi,,,,,,,,,,,,,,,,,
,"Mendelssohn, Felix",A Good And Patient Sherherd,2262,20,SSA,ABJ/Alexander Broude,,,,Piano or organ,,,,,,,,,,,,,,,,,
"Neal, Paul","Mendelssohn, Felix",Hexenlied (Witches' Song),2348,25,SSA,Walton,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mganga, Boniface",Natufurahi Siku Ya Leo,1823 /3 Envelopes,100+,SATB,Earthsongs,,,,"A cappella, percussion",,,,,,,,,,,,,,,,,
,Milchberg/Simon,El Condor Pasa,1265,15,SATB,Charing Cross,,,Jazz,"Piano, opt flute",,,,,,,,,,,,,,,,,
,"Miller, John",Ther's A Spirit Here,1509,22,SATB,Hindon Publications,,,Spiritual,Piano,,,,,,,,,,,,,,,,,
,"Monte, Philippe",How Great the Love,1573,5,SSATB,Marks,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
Don Malin,"Monte, Philippe de",On the First Day of May,1574,3,SSATB,Marks Music ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
Don Malin,"Monte, Philippe de","Now Past, the Deadly Peril",1591,3,SSAATB,Marks Music ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
"Fulton, Kenneth","Monteverdi, C.",Si ch'io vorrei morire,2066,35,SATBB,Alliance Music,,,,A cappella,,,,,,,,,,,,,,,,,
,"Monteverdi, Claudio","Kisses, So Sweet And Burning",541,11,SSATB,Boston Music ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Monteverdi, Claudio",O Leave Me (Sasciatemi Morrire),544,50,SSATB,G. Ricardi & ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Monteverdi, Claudio",Truly I Must Perish,545,20,SSATB,Edition Musicus,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Monteverdi, Claudio",Magnificat,1194,6,SATB,Universal-Edition,,,Extended,Orchestral reduction,,,,,,,,,,,,,,,,,
,"Monteverdi, Claudio",Si Ch'io Vorrei Morire,1360,15,SAATB,Copies,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Monteverdi, Claudio",Sfogava con le Stelle,1362,15,SSATB,Copies,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Monteverdi, Claudio",Ecco Mormorar L'Onde,1403,13,SSATB,Franco Columbo,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Monteverdi, Claudio",Ave Maris Stella,1419,8,SSAATTBB,Universal Edition,,,Motet,"#12 of Vespro Della Beata Virgine, 2 choir, organ and bass",,,,,,,,,,,,,,,,,
,"Monteverdi, Claudio",Ave Maris Stella,1419,8,SSAATTBB,Universal Edition,,,,#12 of Vespro Della Beata Virgine,,,,,,,,,,,,,,,,,
,"Montoya, D.V.",African Processional,1824 /3 Envelopes,80,TTBB,Pavane Publishing,,,,"A cappella, percussion",,,,,,,,,,,,,,,,,
,"Moore, David",Gaudete,1830 /2 Envelpes,100,SATB,Earthsongs,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Morley, Thomas",April Is In My Mistresses Face,546,15,SATB,Novello & ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Morley, Thomas",Sing We And Chant It,547,15,SATB,M. Witmark & Sons,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Morley, Thomas","Lirum, Lirum",1006,20,SSATB,Galaxy Music,,,,A cappella,,,,,,,,,,,,,,,,,
,"Morley, Thomas",Agnus Dei,1056,25,SATB,Arista,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Morley, Thomas",Now is the Month of Maying,1064,4,SATTBB,G. Schirmer,,,Madrigal,,,,,,,,,,,,,,,,,,
,"Morley, Thomas","Shoot, False Love, I Care Not",1589,6,SSATB,Oliver Ditson ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
"Anderson, Arthur Olaf","Morley, Thomas",Now is the Month of Maying,2176,2,SSAA,Hall & McCreary,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Morrison, Theodore",Winter Madrigals,1449,35,SATB,Earthsongs,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
"Martens, Mason","Mouton, Jean",Qui Ne Regrettroit Le Gentil Fevin,2452,2,SATB,Leeds Music Corp,,,Renaissance,A cappella,,,,,,,,,,,,,,,,,
,Mozart,Elves of the Forest,2192,2,SSA,H.W. Gray Co,,,,Piano,,,,,,,,,,,,,,,,,
,"Mozart, W. A.","Adoramus Te, Christe",548,50,SATB,Neil A. Kjos Music ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Farmer's Wife Lost Her Cat,550,27,SATB,Edward B. Marks Music,,,Folk,Piano,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Gloria,551,32,SATB,Oliver Ditson ,,,Extended,Organ,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Jubilate Deo,552,75,SATB,Pro Art Publication,,,,"A cappella, divisi",,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Sanctus and Hosanna,553,60,SATB,Boosey & Hawkes ,,,Extended,Piano,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Thirteen Canons (Dreizehn Kanons,975,20,SATB,Carus-Verlag,,,,A cappella,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Te Deum Laudamus,1101,40,SATB,Arista,,,Extended,Piano,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Missa Brevis,1134,38,SATB,Marks Music ,,,Extended," 2 vns, Bass and Organ",,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Requiem,1161,18,SATB,"Schirmer, 3 others",,,Extended Work,Orchestra parts included,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Laudate Dominum,1289,35,SATB,Schirmer,,,Motet,"Organ, sop solo",,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Quarite Primum Regnum Dei,1354,25,SATB,Mark Foster,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Dixit Dominus,1391,10,SATB,Lawson-gould,,,From Vesperae Solennes,Piano,,,,,,,,,,,,,,,,,
,"Mozart, W. A.","Kronungs-Messe (Mass #14 ""Coronation Mass"")",2633,89,SATB,"44-Breitkopf, 24-Edition Peters, 11- Schirmer, 9-Kalmus",,,Extended Work,Orchestra,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Regina Coeli,1105 /3 envelopes,30,SATB,Schirmer,,,Extended,SATB soloists and piano,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Ave Verum Corpus,549 A,20,SATB-SATB,Witmark,,,,Piano,,,,,,,,,,,,,,,,,
,"Mozart, W. A.",Ave Verum Corpus,549 C,,SATB,Sam Fox ,,,,Piano,,,,,,,,,,,,,,,,,
,"Mozart, W.A.",Motet: Ave Verum Corpus K.618,2004,20,SATB,Vladimir Music,,,,String Parts included,,,,,,,,,,,,,,,,,
"Ehret, Walter","Mozart, W.A.",The Alphabet,2404,4,SSA,ABI/Alexander Broude,,,,Piano,,,,,,,,,,,,,,,,,
,"Mozart, W.A. ",Te Deum,1971,5,SATB,Broude Bros,,,Extended,Piano,,,,,,,,,,,,,,,,,
,"Muczynski, Robert",Synonyms For Life,554 /2 envelopes,60,SATB,G. Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,"Muehleisen, John",Snow (The King's Trumpeter),2057,30,SATB,Colla Voce,,,,"Trumpet, piano",,,,,,,,,,,,,,,,,
,"Mulholland, James","A Red, Red Rose",1424 /2 envelopes,50,SATB,European American Mus.,,,,"#1 of four Robert Burns Ballads, piano",,,,,,,,,,,,,,,,,
,"Mulholland, James",Love Songs of the Irish,1833 /2 Envelopes,60,SATB,European American Music Corp,,,,Piano,,,,,,,,,,,,,,,,,
,"Mulholland, James",Think On Me,1834 /3 Envelopes,75,SATB,Colla Voce,,,,Piano,,,,,,,,,,,,,,,,,
,"Mulholland, James Quitman",If Love Should Count You Worthy,1832,80,SATB,Colla Voce Music ,,,,horn and piano,,,,,,,,,,,,,,,,,
,"Murphy, Ryan",A lullaby,2081,31,SATB,Walton,,,,"Piano, opt strings, divisi",,,,,,,,,,,,,,,,,
,"Murray, Alan",Madame Jeanette,555,62,SATB,Carl Fischer ,,,Folk,A cappella,,,,,,,,,,,,,,,,,
,"Murray, Carol","It's Just Another Day, Lord",2389,7,SA,Curtis Music Press,,,,Piano,,,,,,,,,,,,,,,,,
,"Musser, Sandra",Walk Dem Bones!,1508,30,3-part,Alfred Choral Designs,,,Spiritual,Piano,,,,,,,,,,,,,,,,,
,"Mussorgsky, M. P.","Coronation Scene from Boris Godunov""""",556 /2 envelopes,80,SATB,E. C. Schirmer ,,,Extended,"Piano, ten and bari solos",,,,,,,,,,,,,,,,,
,"Nance, Richard",Set Me As A Seal,2415,3,SSAA,Walton Music,,,,"Organ, French horn parts included",,,,,,,,,,,,,,,,,
,"Nanini, G. M.",Diffusa est Gratia,559,30,SATB,World Library of Sacred Music,,,,A cappella,,,,,,,,,,,,,,,,,
,"Nelson, Ron",He Came Here For Me,560,15,SATB,Boosey & Hawkes,,,,"Piano, Harp, or organ",,,,,,,,,,,,,,,,,
,"Nelson, Ron",Proclaim This Day for Music,1837,80,SATB,Theodore Presser ,,,,brass and timpani,,,,,,,,,,,,,,,,,
,"Nesta, Francis J.",The Argument,1540,7,SATB,Shawnee Press,,,Humorous,Piano,,,,,,,,,,,,,,,,,
,"Neufeld, ken",The Lamb,1364,25,SATB,Aberdeen Music,,,,A cappella,,,,,,,,,,,,,,,,,
Ed Lojeski,"Newbury, Mickey",An American Trilogy,1033 /2 envelopes,50,SATB,Hal Leonard,,,Patriotic,"Guitar, piano, string bass, percussion",,,,,,,,,,,,,,,,,
,"Newman, Alfred",How the West Was Won,1311 /2 envelopes,30,SATB,Robbins Mus.,,,"Extended, Cantata","Piano, ",,,,,,,,,,,,,,,,,
Lojeski,"Nichols, Roger",Let Me Be The One,1217,6,SATB,Hal Leonard,,,Pop,Piano,,,,,,,,,,,,,,,,,
,"Niehaus, Lennie",Brighter World,1145,20,SATB,Vortex Music,,,,A cappella,,,,,,,,,,,,,,,,,
"Brown, Uzee Jr.",Nigerian Folk,Dide ta Deo,1942,80,SATB,Roger Dean ,,,Nigerian Folk Song,percussion,,,,,,,,,,,,,,,,,
,"Nikolsky, A.",Little Duck in the Meadow,562,62,SATB,G. Schirmer,,,"Folk, Russian",A cappella,,,,,,,,,,,,,,,,,
,"Niles, John Jacob","Carol of the Angels, The",563,52,SATB,G. Schirmer,,,Folk-Christmas,"A cappella, sop solo",,,,,,,,,,,,,,,,,
,"Niles, John Jacob",I Wonder As O Wander,564,60,SATB,G. Schirmer,,,Folk-Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Niles, John Jacob",Oh Wally Wally,565,40,SATB,Carl Fischer ,,,Folk,A cappella,,,,,,,,,,,,,,,,,
,"Niles, John Jacob",Venezuela,566,26,SATB,Carl Fischer ,,,Folk,Piano,,,,,,,,,,,,,,,,,
,"Nin-Culmell, Josquin","Lost Child, The (Three Traditional Cuban Songs)",567,50,SATB,Bongwen Music ,,,Cuban Folk Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Nin-Culmell, Josquin",Come Here For Your Fruit Pulp (Three Traditional Cuban Songs),568,50,SATB,Bongwen Music ,,,Folk Cuban,A cappella,,,,,,,,,,,,,,,,,
,"Nin-Culmell, Josquin",Where Is the Ma Teodora,570 /2 envelopes,80,SATB,Bongwen Music ,,,Folk Cuban,A cappella,,,,,,,,,,,,,,,,,
,"Nischinsky, P. I.",Cossack Call,571,76,SATB,Carl Fischer ,,,Folk,Piano,,,,,,,,,,,,,,,,,
,Noble T. Tertius,Fierce Was The Wild Billow,572,60,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,Noble T. Tertius,Go To Dark Gethsamane,573,35,SATB,H. W. Gray ,,,Spiritual,"A cappella, divisi",,,,,,,,,,,,,,,,,
,Noble T. Tertius,"Nightengale, The",574,11,SATB,Banks & Sons,,,,"A cappella, divisi",,,,,,,,,,,,,,,,,
,Noble T. Tertius,Souls of the Righteous,575,73,SATB,Theodore Presser,,,Anthem,A cappella,,,,,,,,,,,,,,,,,
,"Noble, Ramon",Las Mananitas,1839 /2 Envelopes,60,SATTBB,Alliance ,,,,A cappella,,,,,,,,,,,,,,,,,
Rizzo,"Noble, Ray",Cherokee,1171,20,SATB,Shapiro,,,Indian Love Song,"A cappella, divisit",,,,,,,,,,,,,,,,,
,"Norden, N. Lindsay",Only Begotten Son,576,73,SSAATTBB,J. Fischer & Bro.,,,Anthem,"A cappella, divisi",,,,,,,,,,,,,,,,,
,"Norman, John D.",The Peace of God,2273,7,SA,Choristers Guild,,,,Harp and Organ,,,,,,,,,,,,,,,,,
,"Nosse, Carl E.",Know Ye Not?,577,30,SSAATTBB,Choral Art Publishers,,,,"A cappella, divisi",,,,,,,,,,,,,,,,,
,"Nowowiejski, Felix",Parce Domine,1972,25,SATB,Colla voce,,,,A cappella,,,,,,,,,,,,,,,,,
,"Nystedt, Kent",The Path of the Just,972,40,SSAATTBB,Augsburg,,,,A cappella,,,,,,,,,,,,,,,,,
,"Nystedt, Knut",Cry Out And Shout,578,38,SATB,Summy-Birchard ,,,,Piano or organ,,,,,,,,,,,,,,,,,
,"Nystedt, Knut",O Crux,1386,30,SSAATTBB,Hinshaw Music,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Nystedt, Knut",Three Motets,1555,7,SATB,Augsburg ,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Nystedt, Knut",Suoni,2253,21,SSAA,Associated Music Publishers,,,,"Flute, Marimba",,,,,,,,,,,,,,,,,
,"Nystedt, Knut",Cry Out and Shout,2294,12,SSATTB,Sammy Birchard,,,,A cappella,,,,,,,,,,,,,,,,,
,"Nyvall, David","Alma Mater (Idaho, Mother of Mine)",#16 Box of Idaho Songs,2,SATB,Copyright U of I,,,,Piano,,,,,,,,,,,,,,,,,
,"O'Donnell, J. M.","Go, Vandals, Go!",#12 Box of Idaho Songs,,,Mimeograph copy,,,Folk-Idaho,2 envelopes,,,,,,,,,,,,,,,,,
,"O'Hara, Geoffrey","Let's Sing, Let's Play, Let's Work",581,45,SATB,Carl Fischer ,,,,Piano,,,,,,,,,,,,,,,,,
,"Ockeghem, Johannes",Alma Redemptoris Mater,580,50,SATB,Arista Music ,,,Marien Antiphon,A cappella,,,,,,,,,,,,,,,,,
,"Offenbach, Jacques",Neighbors' Chorus (from La jolie Parfumeuse),1477 /2 envelopes,40,SATB,Broude Brothers,,,Opera,Piano,,,,,,,,,,,,,,,,,
"Brooks, Barrington","Olatunji, Via and Wendell Whalum",Betelehemu,1941,16,SATB,Lawson-Gould,,,"Christmas, Nigerian",A cappella percussion,,,,,,,,,,,,,,,,,
,"Olds, W.B.",A Christmas Choralogue,1310 /2 envelopes,30,SATB,Carl Fischer ,,,"Extended, Christmas","A cappella, mezzo solo and narrator",,,,,,,,,,,,,,,,,
Shaw,Oliver/Garris,Opus One,1247,20,SATB,Hal Leonard,,,Jazz,Rhythm section,,,,,,,,,,,,,,,,,
,"Oliveros, Pauline",Sound Patterns,1045,5,SATB,European American Mus.,,,,A cappella,,,,,,,,,,,,,,,,,
,"Olmsted, Timothy",Vernon,2449,2,SATB,Edward B Marks,,,American,A cappella,,,,,,,,,,,,,,,,,
,"Orban, Gyorgy",Daemon Irrepit Callidus,1973,42,SATB,Hinshaw,,,,A cappella,,,,,,,,,,,,,,,,,
,"Orff, Carl",Carmina Burana,1102,40,SATB,B. Schott's Sohne,,,Extended ,orchestra,,,,,,,,,,,,,,,,,
,"Oxley, Harrison",Folk Songs for Mixed Voices,1476,3,SATB,Roberton Publications,,,Folk,A cappella,,,,,,,,,,,,,,,,,
,"Pachelbel, Johann",Magnificat in C,1104,20,SATB,Summy Birchard,,,Extended ,Organ,,,,,,,,,,,,,,,,,
,"Pachelbel, Johann",Shout to the Lord,1122,38,SATB,Concordia  House,,,Extended,"Continuo, double choir",,,,,,,,,,,,,,,,,
,"Pachelbel, Johann",Give Thanks Unto Our God,2457,2,SATB,Sam Fox,,,,"A cappella, opt brass ensemble, double choir",,,,,,,,,,,,,,,,,
"Woodward, H.","Pachelbel, Johann",Deus in Adjutorium,930 /3 envelopes,31,SSATB,Piedmont,,,,"Organ, Soprano duet",,,,,,,,,,,,,,,,,
,"Padworski, Kevin T.",A Song to the World,2337,6,SATB,Kevin t padworski ,,,,"A cappella, divisi",,,,,,,,,,,,,,,,,
,"Padworski, Kevin T.",Vidi Aquam,2349,16,SSA,Santa Barbara,,,,4 hand piano,,,,,,,,,,,,,,,,,
,"Padworski, Kevin T.",If,2379,27,SATB,Kevin T Padworski,,,,Piano,,,,,,,,,,,,,,,,,
,"Paladilhe, Emile",Benedictus,586,60,SATB,Neil A. Kjos Music ,,,,"A cappella, sop solo",,,,,,,,,,,,,,,,,
"Coates, Henry",Palestrina,O Radiant Glory,2458,2,SATB,H.W. Gray ,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,Palestrina,"Come, Then, O Holy Breath Of God",2459,2,SSATB,Piedmont Music,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,Palestrina,City of God,2460,2,SSATB,Piedmont,,,MAdrigal,A cappella,,,,,,,,,,,,,,,,,
"Malin, Don",Palestrina,"Well Do I Know, My Lord",2462,2,SSATB,Piedmont,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,Palestrina,Missa Papae Marcelli,2610,12,SATB,Kalmus,,,Extended Work,A cappella,,,,,,,,,,,,,,,,,
Hufstader,Palestrina,Sicut Cervus,1830 /2 Envelopes,80,SATB,Mercury Music Corp,,,,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi","Adoramus Te, Christe",587,60,SATB,G. Schirmer,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi",Assumpta est Maria,588,60,SSATTB,Mercury Music ,,,Motet,A cappella or with strings,,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi",Canzonetta,589,43,SAT,Edition Musicus,,,,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi",Exultante Deo,590,30,SAATB,M. Witmark & Sons,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi",Gloria Patri,591,30,SSAATTBB,G. Schirmer,,,Motet,"A cappella, double chorus",,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi",Hodie Christus Natus Est,592,60,SATB,G. Schirmer,,,"Motet, Christmas","A cappella, double chorus, divisi",,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi",Tenebre Factae Sunt,593,45,SATB,Oliver Ditson,,,,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi","We Do Worship Thee, O Christ",594,30,SATB,Willis Music ,,,Anthem,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi",When Flow'ry Meadows Deck the Year,595,9,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi",Sicut cervus desiderat;Sitivit anima mea,934,30,SATB,Schirmer,,,Motet,A cappella,,,,,,,,,,,,,,,,,
Bedell,"Palestrina, G. Pierliugi",O Blessed Jesu,1193,20,SATB,Clayton F. Summy,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi",Three Masses for 6 Voices,1307,6,SSATTB,Edwin F. Kalmus,,,"Extended, 3 masses",A cappella,,,,,,,,,,,,,,,,,
Don Malin,"Palestrina, G. Pierliugi",O Kindly Jesus,1590,7,SATTB,Marks Music,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G. Pierliugi",Missa Brevis,1406 /2 envelopes,17,SATB,Arista,,,Extended,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G.P.",Tu Es Petrus,1974,19,SSAA(orT)TB,CPD,,,,A cappella,,,,,,,,,,,,,,,,,
,"Palestrina, G.P.",Exultate Deo,2022,10,SAATB,CPD,,,,A cappella,,,,,,,,,,,,,,,,,
,"Palmgren, Selim",Northern Lights,596,7,SATB,M. Witmark & Sons,,,,A cappella,,,,,,,,,,,,,,,,,
,"Palmgren, Selim",Sorrow,597,25,SATB,G. Schirmer,,,Finnish song,"A cappella, divisi",,,,,,,,,,,,,,,,,
,"Palmgren, Selim",Butterflies,998,30,SATB,Walton,,,,A cappella,,,,,,,,,,,,,,,,,
