library,composer,arranger,title,envelope,publisher,score_full/cond/oversized,missing_parts,playingtime,comments,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26
Wind Bands,Ketelby,,Chal Romano,145,Bosworth,,,07:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Ketelby,,The Clock and the Dresden Figures,145,Bosworth,,,,,,,,,,,,,,,,,,,,
Wind Bands,Ketelby,Amers,Cockney Suite,147,Bosworth,,,12:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Ketelby,,In a Chinese Temple Garden,148,Bosworth,,,,,,,,,,,,,,,,,,,,
Wind Bands,Ketelby,,In a Persian Market,149,Bosworth,,,,,,,,,,,,,,,,,,,,
Wind Bands,Kelelby,Godfrey,In a Camp of The Ancient Britons,150,Bosworth,,,07:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Ketelby,Godfrey,Sanctuary of the heart,151,Bosworth,,,04:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Ketelby,Hume,In a Monastary Garden,152,Boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,Langenus,Watson,Scherzo: Swallow's Flight,153,witmark,full,,,flute & clarinet duet w/ band,,,,,,,,,,,,,,,,
Wind Bands,La Gassey,,Sequoia,154,Kjos,,,,,,,,,,,,,,,,,,,,
Wind Bands,Lecuona,Anthony,Cordoba,156,Marks,,,,,,,,,,,,,,,,,,,,
Wind Bands,Lecuona,Yoder,Malaguena,157,marks,,,04:20:00,,,,,,,,,,,,,,,,,
Wind Bands,Lecuona,Yoder,La Comparsa,158,Marks,,,02:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Leidzen,,First Swedish Rhapsody,159,Mills,,,06:50:00,,,,,,,,,,,,,,,,,
Wind Bands,Leidzen,,Debonnaire Overture,160,Fischer,,,08:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Liadov,Goldman,Eight Russian Folk songs - part 1,161,Mills,,,,,,,,,,,,,,,,,,,,
Wind Bands,Liadov,Goldman,Eight Russian Folk songs - part 2,162,Mills,,,,,,,,,,,,,,,,,,,,
Wind Bands,Lillya,,A Childhood Fantasy,163,Witmark,,,05:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Luigini,Laurendeau,Ballet Egyptien,164,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,lockhart,Alford,"World in Waiting for the Sunrise, The",165,Chappell,,,02:45:00,Needs good baritone,,,,,,,,,,,,,,,,
Wind Bands,Logan,"Alford, H",Pale moon,166,Forester,,,,,,,,,,,,,,,,,,,,
Wind Bands,Longa,,Christmas Rhapsody,167,Rubank,,,05:30:00,,,,,,,,,,,,,,,,,
Wind Bands,Losey,,Overture finale,168,Barnhouse,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Massenet, Jules",Safranek,Phedre,169,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Meyerber,Lake,"Cornation March from ""The Prophet""",170,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Lake,Tannerhauser March,170,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,McBride,,Lonely Landscape,171,Leeds,,,07:00:00,,,,,,,,,,,,,,,,,
Wind Bands,McKay,,Three Street Corner Sketches,172,G. Schirmer,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Milhaud, Darius",,Suite Franciase,173,leeds,cond,,16:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Mieacer,,Naomi,174,Volkwein,full,,04:30:00,,,,,,,,,,,,,,,,,
Wind Bands,Moehlmann,,King John,175,Fischer,,,5:00-6:00,,,,,,,,,,,,,,,,,
Wind Bands,"Morrissey, John J.",,Carribean Fantasy,176,Marks,,,05:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Morrissey, John J.",,An American Weekend,177,Witmark,,,08:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Morrissey, John J.",,"French Quarter, The",178,remick,,,7:00 -7:45,,,,,,,,,,,,,,,,,
Wind Bands,"Mussorgsky, Modest",Leidzen,Pictures at an Exhibition - part 1,179,Fischer,full,,13:00:00,"contens: I Promenade, II the old Castle, III Tuileries, IV Bydlo, V Ballet of the Unhatched Chicks",,,,,,,,,,,,,,,,
Wind Bands,"Mussorgsky, Modest",Leidzen,Pictures at an Exhibition - part 2,180,Fischer,cond.,,05:25:00,"contents:VI the market Place at limoges, VII Catacombs",,,,,,,,,,,,,,,,
Wind Bands,"Mussorgsky, Modest",Leidzen,Pictures at an Exhibiton - part 3,181,Fischer,cond.,,04:00:00,"contents: VIII the hut of Baba-Yaga, IX the grat gate of Kiev",,,,,,,,,,,,,,,,
Wind Bands,"Mussorgsky, Modest",Leidzen,"Coronation scene from ""Boris Godunov""",182,Marks,,,09:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Muller, Robert",,Felicitas Overture,183,Barnhouse,,,,,,,,,,,,,,,,,,,,
