library,composer,arranger,title,publisher,b-81.0,score,missing_parts,comments,drawer,type,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26
Orchestra,"Humperdinck, Engelbert",Schmidt,,Fischer,H-34.0,,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Ippolitow-Ivanov, Mikhail",Reibold,Procession of the Sardar,Fox,I-1.0,Full,,,6,March,,,,,,,,,,,,,,,
Orchestra,"Isaac, Merle J.",,Legend,Fischer,I-2.0,Full,,,6,Tone Poem,,,,,,,,,,,,,,,
Orchestra,"Ivanovici, Ion",Sopkin,Waves of the Danube,Mills,I-3.0,Piano/Conductor,,,6,Waltz,,,,,,,,,,,,,,,
Orchestra,"Ives, Charles E.",,The Unanswered Question (1908),Southern Music Pub.,I-4.0,,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Jarnefelt, Armas","Roberts, Chas. J.",Praeludium,Fischer,J-1.0,Piano/Conductor,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Jenkins, Karl",,Pilladio,,,string orchestra,,,,,,,,,,,,,,,,,,,
Orchestra,"Johnson, Harold M.",,"Passacaglia and Fughetta, Op. 27",Belwin,J-2.0,Full,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Johnson, Harold M.",,"The Piper of Hamelin, Op. 34",Fox,J-3.0,Full,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Joplin, Scott",Delisle/Schuller,The Entertainer,Belwin-Mills,J-4.0,Full,,,6,A Rgtime Twostep,,,,,,,,,,,,,,,
Orchestra,"Kabalevsky, Dmitri",,Colas Breugnon - Overture,Kalmus,K-1.0,,,,6,Overture,,,,,,,,,,,,,,,
Orchestra,"Karoly, Gondor",Roberts,"Atilla - Hungarian Overture, Op. 43",Fischer,K-2.0,Piano/Conductor,,,6,Overture,,,,,,,,,,,,,,,
Orchestra,"Khachaturian, Aram",Mohaupt,Gayanne - Sword Dance,Russian - Am. Music Pub.,K-4.0,Piano,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Khachaturian, Aram",,Concerto for Violin,Kalmus,K-5.0 (A & B),Full,,,6,Concerto,,,,,,,,,,,,,,,
Orchestra,"Kindler, Hans",,Three Seventeenth Century Dutch Tunes,Carl Fischer,K-6.0,Full,,,6,,,,,,,,,,,,,,,,
Orchestra,"Klimko, Ronald",,Christmas Carol Medley,Manuscript,K-7.0,Full,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Liszt, Franz",,Piano Concerto No. 1 in E flat minor,,L-5.1,full,,,,,,,,,,,,,,,,,,,
Orchestra,"Liszt, Franz",Liszt and Doppler,Hungarian Rhapsody No 6,,L-5.2,,,,,,,,,,,,,,,,,,,,
Orchestra,"Mahler, Gustav",,Blicke mir nicht in die Lieder,,M-1.0,,,,6,,,,,,,,,,,,,,,,
Orchestra,"Mahler, Gustav",,Ich atmet' einen linden Duft,Lucks,M-2.0,,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mahler, Gustav",,Ich bin der Welt abhanden gekommen,,M-3.0,,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mahler, Gustav","Puttmann, Max",Liebst du um Schonheit,,M-4.0,,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mahler, Gustav",,Um Mitternacht,Manuscript,M-5.0,,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mantovani, Annunzio","Isaac, Merle J.",Piccolo Bolero,Miller Music,M-6.0,Piano/Conductor,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Marcelli, Nino",,Ode to a Hero (A Tribute to General Pershing),Fischer,M-7.0,Full,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mascagni, Pietro",,Cavaileria Rusticana - Drinking Song,Leo Feist,V-4.0 (A & B),,,Album of Operatic Airs - Filed under Verdi - Aida,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Massenet, Jules",Sheeley,Vision Fugitive,Manuscript,M-10.0,Full,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Massenet, Jules",,"""Manon"" - Le Reve - The Dream",Lucks,M-8.0,Full,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Massenet, Jules",Moses-Tobani/Seredy,Phedre Overture,Fischer,M-9.0,Piano/Conductor,,,7,Overture,,,,,,,,,,,,,,,
Orchestra,"Massenet, Jules",,Le Cid - Aragonaise,Leo Feist,V-4.0 (A & B),,,Album of Operatic Airs - filed under Verdi - Aida,11,Misc,,,,,,,,,,,,,,,
Orchestra,"McKay, George F.",,Carillon,Manuscript,MC-1.0,None,,,8,Misc.,,,,,,,,,,,,,,,
Orchestra,"McKay, George F.",,"Port Royal, 1861 (Op.48)",Summy-Birchard,MC-2.0,Full,,,8,Folk Song Suite,,,,,,,,,,,,,,,
Orchestra,"McKay, George F.",,Symphony Miniature,Birchard,MC-3.0,Full,,,8,Symphony,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",Theo. Moses/ Seredy,Athalia - War March of the Priests,Fischer,M-11.0,Piano/Score,,,7,March,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",,"Capriccio Brilliant for Piano, Op. 22",Breitkopf & Hartel,M-12.0,,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",,"Concerto for Vioin, Op. 64",Breitkopf & Hartel,M-13.0,Full,,,7,Concerto,,,,,,,,,,,,,,,
