Library,Composer,Arranger,Title,Drawer,Envelope,Copies,Score Type,Publisher,Performance Date,PlayingTime,Score (Full/Cond/Oversized),Comments
Choral,"Banks, Mary",,Sea Dirge,2/41,25,SATB,Mimeographed Copies,,,,,
Choral,"Bantock, Granville",,Jack and Joan,2/42,33,,J. Curwen & Sons,,,,,
Choral,"Bantock, Granville",,Sea Sorrow,2/43,29,,J. Curwen & Sons,,,,,
Choral,"Barber, Samuel",,Anthony O Daly,73/1404,40,SATB,G. Schirmer,,,,Reincarnations #2 #1 folder 45,
Choral,"Barber, Samuel",,"Coclin, The",73/1405,40,SATB,G. Schirmer,,,,Reincarnations #3 #1 folder 45,
Choral,"Barber, Samuel",,"Let Down the Bars, O Death",2/44,37,,G. Schirmer,,,,,
Choral,"Barber, Samuel",,Mary Hynes,2/45,40,,G. Schirmer,,,,,
Choral,"Barber, Samuel",,Twelfth Night,66/1288,,,,,,,,
Choral,"Barduhn, Dave",,Almost Like Being in Love,63/1157,,,,,,,,
Choral,"Barduhn, Dave",,Don't Worry 'Bout Me,65/1262,,,,,,,,
Choral,"Barlow, Richard",,Where Runs the River,2/46,57,,J. Fischer,,,,,
Choral,"Barnard, John",,God Has Come In,Shelf/1617,35,SATB,Oxford,,,,A christmas carol,
Choral,"Bart, Lionel","Leyden, Norman",Oliver: Choral Selections,2/47,31,,Hollis Music Inc.,,,,,
Choral,Bartholomew,,Little Innocent Lamb,1390,35,,G. Schirmer,,,,,
Choral,"Bartok, Bela",,Finding a Husband,3/48,41,,Boosey & Hawks,,,,,
Choral,"Bartok, Bela",,Four Slovak Folk Songs,39/860,24,SATB,,,,,,
Choral,"Baska, Robert",,Walking So Early,49/1027,,,Broude Inc.,,,,,
Choral,"Basler, Paul",,Portones abiertos y rostros brillantes,top shelf,37,SATB,Walton Music,SATB,,,"from ""Dos Canciones"" with piano",
Choral,"Bates, Katherine Lee",Ringwald,America the Beautiful,2/49,54,,,,,,,
Choral,"Bax, Clifford/Ringwald, Roy",,Turn Back O Man!,shelf/1529,3,SATB,Shawnee Press,3/7/2000,,,,
Choral,"Baxter, Francis",,Kiso Bushi,shelf/1624,35,SATB,Santa Barbara Music,,,,,
Choral,"Becaud, Gilbert","Shaw, Robert",Let It Be Me,65/1238,,,,,,,,
Choral,"Beck, John Ness",,Canticle of Priases,3/50,35,,,,,,,
Choral,"Beck, John Ness",,Once in Royal David's City,shelf/1392,4,SATB,Sacred Music Press,4/14/2000,,,,
Choral,"Beecher, W. Gordon",,"Ramparts We Watch, The",3/51,21,,Sam Fox,,,,,
Choral,"Beethoven, L.V.",Emerson,Ode to Joy,49/1020,,,Jenson,,,,,
Choral,"Beethoven, L.V.",,A Calm Sea & Prosperous Voyage?,66/1291,,,Belwin Mills,,,,,
Choral,"Beethoven, L.V.",,"Choral Fantasia, The",46/954,,,,,,,Piano and Orchestra,
Choral,"Beethoven, L.V.",,Hallelujah Chorus (from Mount of Olives),43/940,31,,Oliver Ditson Inc.,,,,,
Choral,"Beethoven, L.V.",,Symphony No. 9,Mc. Lib.7/1379,42,,,3/29/2000,,,,
Choral,"Beethoven, Ludwig Van",,"Symphony No. 3 ""Eroica"" in E-flat Major, Op. 55",2,B-45.0 (A,,,,,,,
Choral,"Bell, Thom",Lobjeski,Life Is a Song Worth Singing,64/1216,,,,,,,,
Choral,"Bennett, Robert",,Carol Cantata III,41/921,6,,Lawson-Gould,,,,,
Choral,"Bennett, Robert",,"Columbia, The Gem of the Ocean",3/53,29,,Lawson-Gould,,,,,
Choral,"Berger, Jean",,A Rose Touched By the Sun's Warm Rays,shelf/1550,7,SATB,Augsburg Publishing,4/5/2000,,,,
Choral,"Berger, Jean",,A Song of Seasons,54/1086,,,John Sheppard,,,,,
Choral,"Berger, Jean",,Alleluia (Brazilian Psalm),3/55,18,,G. Schirmer,,,,,
Choral,"Berger, Jean",,Her the Singing,3/56,59,,G. Schirmer,,,,,
Choral,"Berger, Jean",,Magnificat,43/942,,,Sheppard,,,,,
Choral,"Berger, Jean",,Psalm 86,shelf/1562,3,SATB,Harold Flammer Inc.,4/14/2000,,,,
Choral,"Berger, Jean",,Skelton Poems,mc. Lib. 5/1315,24,,,3/29/2000,,,,
Choral,"Berger, Jean",,Speak to One Another of Psalms,48/1004,,,Augsburg Publishing,,,,,
Choral,"Berger, Jean",,Vision of Peace,56/1106,,,Broude Brothers,,,,,
Choral,"Bergh, A.",,Pledge of Allegiance,3/57,84,,Sam Fox,,,,,
Choral,"Berlin, Irving",,A Choral Portrait,3/58,53,,Shawnee Press,11/12/1999,,,,
Choral,"Berlioz, Hector",,A Dance of Ghosts,61/1136,50,,Broude Brothers,,,,,
Choral,"Berlioz, Hector",,Childhood of Christ,45/951,,,Kalmus,,,,,
Choral,"Bernstein, Leonard",,Almighty Father,shelf/1475,7,,Boosey & Hawks,10/14/1999,,,,
Choral,"Bernstein, Leonard",,Chichester Psalms,mc. Lib 6/1329,35,,G. Schirmer,3/29/2000,,,,
Choral,"Bernstein, Leonard",,Gloria Tibi from Mass,47/964,27,,G. Schirmer,,,,,
Choral,"Bernstein, Leonard",,Sanctus from Mass,3/60-A,33,,G. Schirmer,,,,,
Choral,"Bernstein, Leonard",,"Soldier's Song from ""The Lark""",Top Shelf,42,7-Part,Boosey & Hawks,,,,With Drum,
Choral,"Besig, Jon",,"Joy That is Music, The",shelf/1570,7,SATB,Shawnee Press,4/14/2000,,,,
Choral,"Besly, Maurice",,"Shepherds Had an Angel, The",3/61,63,,J. Curwen & Sons,,,,,
Choral,"Billings, William","Dickinson, Clarence",A Virgin Unspotted,12/239,52,,Music Press Inc.,,,,,
Choral,"Billings, William",,"Bird, The",3/66,60,,C.C. Birchard & Co.,,,,,
Choral,"Billings, William",,Chester,3/64,47,,G. Schirmer,,,,,
Choral,"Billings, William",,David's Lamentation,48/993,,,Fischer,,,,,
Choral,"Billings, William",,Three Fufuing Tunes,4/68,,,Music Press Inc.,,,,,
Choral,"Billings, William",,When Jesus Wept,3/65,45,,G. Schirmer,,,,,
Choral,"Billingsly, William",,Come Christmas Join To Sing,4/69,,,Mimeographed Copies,,,,,
Choral,"Billingsly, William",,Idaho Medley,"In \""Idaho\"" Box",40+,,,,,,,
Choral,"Billingsly, William",,The Paradox,4/70,,,Mimeographed Copies,,,,,
Choral,"Binkard, Gordon",,Ad te levavi,40/886,20,,,,,,,
Choral,"Binkard, Gordon",,Institutional canons for Mixed Voices,shelf/1497,1 set,,Boosey & Hawkes,12/1/1999,,,One complete set of three movements,
Choral,"Binkard, Gordon",,To Electra (Set One),shelf/1484A,,mixed,Boosey & Hawkes,3/6/2000,,,"5 movements, 2 copies each",
Choral,"Binkard, Gordon",,To Electra (Set Two),shelf/1484B,8,,Boosey & Hawkes,11/18/1999,,,part 2 of a song cycle - Movements 6-9,
Choral,"Binkard, Gordon",,Tommorrow the Fox Will Come to Town,shelf/1498,3,SATB,Boosey & Hawkes,12/1/1999,,,,
Choral,"Bird, Hubert",,Adam Lay Ybounden,Shelf 1,,40,SATB,Alliance,12/03,,a capella,
Choral,"Bizet, Georges",,Agnus Dei,4/71,70,,Pro Art Publications,,,,,
Choral,"Bizet, Georges",,"Habanera from ""Carmen""",4/72,54,,Oliver Ditson Inc.,,,,,
